No,negative_sequence,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
1,1.25310530955215e-05,133125,133124,133124,0.7,0.7,0.7,7987,7987,7987,0,0,0,120,-120,30,150,-90,0
2,0.000409066984080842,133032,133094,133132,0,1.2,1.2,7986,7982,7987,0,0,0,119.96,-120.03,30,149.97,-90.04,1
3,1.2534583273217e-05,133125,133124,133124,0.7,0.7,0.7,11400,11400,2920,0,0,0,120,-120,52.64,127.36,-90,0
4,0.000409060518676921,133032,133094,133132,0,1.2,1.2,11401,11395,2920,0,0,0,119.96,-120.03,52.63,127.31,-90.04,1
5,1.25362873225284e-05,133125,133124,133124,0.7,0.7,0.7,13418,13418,483,0,0,0,120,-120,58.97,121.03,-90,0
6,0.000409057408502767,133032,133094,133132,0,1.2,1.2,13420,13413,483,0,0,0,119.96,-120.03,58.95,120.99,-90.04,1
7,1.2536567489827e-05,133125,133124,133124,0.7,0.7,0.7,13780,13780,63,0,0,0,120,-120,59.87,120.13,-90,0
8,0.000409056881607654,133032,133094,133132,0,1.2,1.2,13781,13774,63,0,0,0,119.96,-120.03,59.85,120.09,-90.04,1
9,1.25366180040702e-05,133125,133124,133124,0.7,0.7,0.7,13828,13828,8,0,0,0,120,-120,59.98,120.02,-90,0
10,0.000409056800968208,133032,133094,133132,0,1.2,1.2,13829,13822,8,0,0,0,119.96,-120.03,59.97,119.97,-90.04,1
11,1.25366131824947e-05,133125,133124,133124,0.7,0.7,0.7,13834,13834,1,0,0,0,120,-120,60,120,-90,0
12,0.000409056796481942,133032,133094,133132,0,1.2,1.2,13835,13828,1,0,0,0,119.96,-120.03,59.98,119.96,-90.04,1
13,1.25340459065299e-05,133125,133124,133124,0.7,0.7,0.7,11400,2920,11400,0,0,0,120,-120,7.36,150,-67.36,0
14,0.000409075770139506,133032,133094,133132,0,1.2,1.2,11394,2918,11397,0,0,0,119.96,-120.03,7.35,149.97,-67.4,1
15,1.25558165345923e-05,133125,133124,133124,0.7,0.7,0.7,11088,6975,6975,0,0,0,120,-120,30,127.36,-67.36,0
16,0.000409061441168855,133032,133093,133132,0,1.2,1.2,11086,6971,6973,0,0,0,119.96,-120.03,30,127.31,-67.4,1
17,1.25817286292263e-05,133125,133124,133124,0.7,0.7,0.7,12870,12143,1708,0,0,0,120,-120,53.94,121.03,-67.36,0
18,0.000409044374861298,133032,133093,133132,0,1.2,1.2,12871,12138,1708,0,0,0,119.96,-120.03,53.93,120.99,-67.4,1
19,1.25889337343753e-05,133125,133124,133124,0.7,0.7,0.7,13688,13593,244,0,0,0,120,-120,59.19,120.13,-67.36,0
20,0.00040903963273273,133032,133093,133132,0,1.2,1.2,13689,13587,244,0,0,0,119.96,-120.03,59.17,120.09,-67.4,1
21,1.2589977133074e-05,133125,133124,133124,0.7,0.7,0.7,13816,13804,31,0,0,0,120,-120,59.9,120.02,-67.36,0
22,0.00040903895143524,133032,133093,133132,0,1.2,1.2,13817,13798,31,0,0,0,119.96,-120.03,59.88,119.97,-67.4,1
23,1.2590101767012e-05,133125,133124,133124,0.7,0.7,0.7,13832,13831,4,0,0,0,120,-120,59.99,120,-67.36,0
24,0.000409038863548496,133032,133093,133132,0,1.2,1.2,13834,13825,4,0,0,0,119.96,-120.03,59.97,119.96,-67.4,1
25,1.25354952310759e-05,133125,133124,133124,0.7,0.7,0.7,13418,483,13418,0,0,0,120,-120,1.03,150,-61.03,0
26,0.000409079988554537,133032,133093,133132,0,1.2,1.2,13411,483,13413,0,0,0,119.96,-120.03,1.03,149.97,-61.08,1
27,1.25811043047182e-05,133125,133124,133124,0.7,0.7,0.7,12870,1708,12143,0,0,0,120,-120,6.06,127.36,-61.03,0
28,0.000409062520162723,133032,133093,133132,0,1.2,1.2,12863,1707,12138,0,0,0,119.96,-120.03,6.05,127.31,-61.08,1
29,1.27678879697375e-05,133125,133124,133124,0.7,0.7,0.7,11857,6918,6918,0,0,0,120,-120,30,121.03,-61.03,0
30,0.000408991104151448,133032,133093,133132,0,1.2,1.2,11854,6916,6916,0,0,0,119.96,-120.03,30,120.99,-61.08,1
31,1.2959249650717e-05,133125,133124,133124,0.7,0.7,0.7,13096,12269,1566,0,0,0,120,-120,54.12,120.13,-61.03,0
32,0.000408918117944971,133032,133093,133132,0,1.2,1.2,13097,12264,1566,0,0,0,119.96,-120.03,54.11,120.09,-61.08,1
33,1.30074068571737e-05,133125,133124,133124,0.7,0.7,0.7,13723,13615,219,0,0,0,120,-120,59.22,120.02,-61.03,0
34,0.000408899778340463,133032,133093,133132,0,1.2,1.2,13724,13610,219,0,0,0,119.96,-120.03,59.2,119.97,-61.08,1
35,1.30142382889844e-05,133125,133124,133124,0.7,0.7,0.7,13820,13807,28,0,0,0,120,-120,59.9,120,-61.03,0
36,0.000408897175629681,133032,133093,133132,0,1.2,1.2,13822,13801,28,0,0,0,119.96,-120.03,59.88,119.96,-61.08,1
37,1.25357382054658e-05,133125,133124,133124,0.7,0.7,0.7,13780,63,13780,0,0,0,120,-120,0.13,150,-60.13,0
38,0.000409080707111048,133032,133093,133132,0,1.2,1.2,13772,63,13774,0,0,0,119.96,-120.03,0.13,149.97,-60.18,1
39,1.2588125330853e-05,133125,133124,133124,0.7,0.7,0.7,13688,244,13593,0,0,0,120,-120,0.81,127.36,-60.13,0
40,0.000409062814423157,133032,133093,133132,0,1.2,1.2,13680,244,13587,0,0,0,119.96,-120.03,0.81,127.31,-60.18,1
41,1.29586211304063e-05,133125,133124,133124,0.7,0.7,0.7,13096,1566,12269,0,0,0,120,-120,5.88,121.03,-60.13,0
42,0.000408936717628655,133032,133093,133132,0,1.2,1.2,13090,1566,12264,0,0,0,119.96,-120.03,5.88,120.99,-60.18,1
43,1.44564530909348e-05,133125,133124,133124,0.7,0.7,0.7,11965,6917,6917,0,0.1,0.1,120,-120,30,120.13,-60.13,0
44,0.000408433994035597,133032,133093,133132,0,1.2,1.2,11963,6915,6915,0,0.1,0.1,119.96,-120.03,30,120.09,-60.18,1
45,1.59591283229474e-05,133125,133124,133124,0.7,0.7,0.7,13125,12285,1549,0,0.1,0.1,120,-120,54.14,120.02,-60.13,0
46,0.000407941019846579,133032,133093,133132,0,1.2,1.2,13126,12280,1549,0,0.1,0.1,119.96,-120.03,54.13,119.97,-60.18,1
47,1.63323013012093e-05,133125,133124,133124,0.7,0.7,0.7,13727,13618,216,0,0.1,0.1,120,-120,59.22,120,-60.13,0
48,0.00040782037309852,133032,133093,133132,0,1.2,1.2,13729,13613,216,0,0.1,0.1,119.96,-120.03,59.2,119.96,-60.18,1
49,1.25357822200715e-05,133125,133124,133124,0.7,0.7,0.7,13828,8,13828,0,0,0,120,-120,0.02,150,-60.02,0
50,0.000409080797116962,133032,133093,133132,0,1.2,1.2,13820,8,13822,0,0,0,119.96,-120.03,0.01,149.97,-60.06,1
51,1.2589147442649e-05,133125,133124,133124,0.7,0.7,0.7,13816,31,13804,0,0,0,120,-120,0.1,127.36,-60.02,0
52,0.000409062872470739,133032,133093,133132,0,1.2,1.2,13808,31,13798,0,0,0,119.96,-120.03,0.1,127.31,-60.06,1
53,1.30066148486762e-05,133125,133124,133124,0.7,0.7,0.7,13723,219,13615,0,0,0,120,-120,0.78,121.03,-60.02,0
54,0.0004089230707156,133032,133093,133132,0,1.2,1.2,13715,219,13610,0,0,0,119.96,-120.03,0.78,120.99,-60.06,1
55,1.5958611302413e-05,133125,133124,133124,0.7,0.7,0.7,13126,1549,12285,0,0.1,0.1,120,-120,5.86,120.13,-60.02,0
56,0.000407959842446133,133032,133093,133132,0,1.2,1.2,13119,1549,12280,0,0.1,0.1,119.96,-120.03,5.86,120.09,-60.06,1
57,2.78764690962968e-05,133126,133122,133123,0.7,0.7,0.7,11979,6917,6917,0,0.5,0.5,120,-120,30,120.02,-60.02,0
58,0.000404540673481128,133033,133091,133131,0,1.3,1.2,11977,6914,6914,0,0.5,0.5,119.96,-120.03,30,119.97,-60.06,1
59,3.98014353150938e-05,133126,133121,133121,0.7,0.8,0.7,13129,12287,1547,0,1,1,120,-120,54.14,120,-60.01,0
60,0.000401894672282768,133035,133089,133131,0,1.3,1.2,13130,12282,1547,0,1,1,119.96,-120.03,54.13,119.96,-60.06,1
61,1.25357652450353e-05,133125,133124,133124,0.7,0.7,0.7,13834,1,13834,0,0,0,120,-120,0,150,-60,0
62,0.000409080828813557,133032,133093,133132,0,1.2,1.2,13826,1,13828,0,0,0,119.96,-120.03,-0,149.97,-60.05,1
63,1.25892756641727e-05,133125,133124,133124,0.7,0.7,0.7,13832,4,13831,0,0,0,120,-120,0.01,127.36,-60,0
64,0.000409062870424624,133032,133093,133132,0,1.2,1.2,13824,4,13825,0,0,0,119.96,-120.03,0.01,127.31,-60.05,1
65,1.3013434083156e-05,133125,133124,133124,0.7,0.7,0.7,13820,28,13807,0,0,0,120,-120,0.1,121.03,-60,0
66,0.000408921122165715,133032,133093,133132,0,1.2,1.2,13812,28,13801,0,0,0,119.96,-120.03,0.09,120.99,-60.05,1
67,1.63316884553158e-05,133125,133124,133124,0.7,0.7,0.7,13728,216,13618,0,0.1,0.1,120,-120,0.78,120.13,-60,0
68,0.000407843872400092,133032,133093,133132,0,1.2,1.2,13720,216,13613,0,0.1,0.1,119.96,-120.03,0.77,120.09,-60.05,1
69,3.98012245336666e-05,133126,133121,133121,0.7,0.8,0.7,13129,1547,12287,0,1,1,120,-120,5.86,120.02,-60,0
70,0.000401914660114907,133035,133089,133131,0,1.3,1.2,13123,1547,12282,0,1,1,119.96,-120.03,5.85,119.97,-60.05,1
71,0.000134508728342615,133130,133110,133113,0.8,1,0.8,11981,6916,6916,0,4.3,4.3,120,-120.01,29.99,120.01,-60,0
72,0.000407348958373153,133046,133075,133127,0,1.6,1.2,11980,6913,6913,0,4.3,4.3,119.95,-120.04,29.99,119.96,-60.05,1
73,1.25245328053522e-05,133125,133124,133124,0.7,0.7,0.7,2920,11400,11400,0,0,0,120,-120,30,172.64,-112.64,0
74,0.000409078160953938,133032,133094,133132,0,1.2,1.2,2919,11393,11401,0,0,0,119.96,-120.03,30,172.63,-112.67,1
75,1.25196956372556e-05,133125,133124,133124,0.7,0.7,0.7,6975,11088,6975,0,0,0,120,-120,52.64,150,-112.64,0
76,0.000409070511488708,133032,133094,133132,0,1.2,1.2,6975,11081,6976,0,0,0,119.96,-120.03,52.63,149.97,-112.67,1
77,1.25139964964688e-05,133125,133124,133124,0.7,0.7,0.7,12143,12870,1708,0,0,0,120,-120,58.97,126.06,-112.64,0
78,0.000409061406629786,133032,133094,133132,0,1.2,1.2,12144,12864,1708,0,0,0,119.96,-120.03,58.95,126.01,-112.67,1
79,1.25124331424192e-05,133125,133124,133124,0.7,0.7,0.7,13593,13688,244,0,0,0,120,-120,59.87,120.81,-112.64,0
80,0.000409058868100097,133032,133094,133132,0,1.2,1.2,13594,13682,244,0,0,0,119.96,-120.03,59.85,120.77,-112.67,1
81,1.2512182838249e-05,133125,133124,133124,0.7,0.7,0.7,13804,13816,31,0,0,0,120,-120,59.98,120.1,-112.64,0
82,0.000409058515087875,133032,133094,133132,0,1.2,1.2,13805,13810,31,0,0,0,119.96,-120.03,59.97,120.06,-112.67,1
83,1.25121597069236e-05,133125,133124,133124,0.7,0.7,0.7,13831,13832,4,0,0,0,120,-120,60,120.01,-112.64,0
84,0.000409058464219264,133032,133094,133132,0,1.2,1.2,13832,13827,4,0,0,0,119.96,-120.03,59.98,119.97,-112.67,1
85,1.25176864653765e-05,133125,133124,133124,0.7,0.7,0.7,6975,6975,11088,0,0,0,120,-120,7.36,172.64,-90,0
86,0.000409128379875178,133032,133093,133132,0,1.2,1.2,6971,6970,11088,0,0,0,119.96,-120.03,7.35,172.63,-90.04,1
87,1.25310512470816e-05,133125,133124,133124,0.7,0.7,0.7,7987,7987,7987,0,0,0,120,-120,30,150,-90,0
88,0.000409103811122955,133032,133093,133132,0,1.2,1.2,7986,7982,7987,0,0,0,119.96,-120.03,30,149.97,-90.04,1
89,1.25548906367015e-05,133125,133124,133124,0.7,0.7,0.7,11753,11753,2480,0,0,0,120,-120,53.94,126.06,-90,0
90,0.000409060150213125,133032,133093,133132,0,1.2,1.2,11754,11747,2480,0,0,0,119.96,-120.03,53.93,126.01,-90.04,1
91,1.25639964201466e-05,133125,133124,133124,0.7,0.7,0.7,13504,13504,383,0,0,0,120,-120,59.19,120.81,-90,0
92,0.000409043528229809,133032,133093,133132,0,1.2,1.2,13506,13499,383,0,0,0,119.96,-120.03,59.17,120.77,-90.04,1
93,1.25654461432312e-05,133125,133124,133124,0.7,0.7,0.7,13792,13792,50,0,0,0,120,-120,59.9,120.1,-90,0
94,0.000409040885570788,133032,133093,133132,0,1.2,1.2,13793,13786,50,0,0,0,119.96,-120.03,59.88,120.06,-90.04,1
95,1.25656303498366e-05,133125,133124,133124,0.7,0.7,0.7,13829,13829,6,0,0,0,120,-120,59.99,120.01,-90,0
96,0.000409040543199291,133032,133093,133132,0,1.2,1.2,13831,13824,6,0,0,0,119.96,-120.03,59.97,119.97,-90.04,1
97,1.25095652719292e-05,133125,133124,133124,0.7,0.7,0.7,12143,1708,12870,0,0,0,120,-120,1.03,172.64,-66.06,0
98,0.000409188176411064,133032,133093,133132,0,1.2,1.2,12136,1707,12866,0,0,0,119.96,-120.03,1.03,172.63,-66.1,1
99,1.25513152854821e-05,133125,133124,133124,0.7,0.7,0.7,11753,2480,11753,0,0,0,120,-120,6.06,150,-66.06,0
100,0.000409162977978349,133032,133093,133132,0,1.2,1.2,11747,2478,11749,0,0,0,119.96,-120.03,6.05,149.97,-66.1,1
101,1.27305903734462e-05,133125,133124,133124,0.7,0.7,0.7,11247,6956,6956,0,0,0,120,-120,30,126.06,-66.06,0
102,0.000409054878155684,133032,133093,133132,0,1.2,1.2,11245,6953,6954,0,0,0,119.96,-120.03,30,126.01,-66.1,1
103,1.29293636765647e-05,133125,133124,133124,0.7,0.7,0.7,12938,12205,1640,0,0,0,120,-120,54.12,120.81,-66.06,0
104,0.000408935202943319,133032,133093,133132,0,1.2,1.2,12939,12200,1639,0,0,0,119.96,-120.03,54.11,120.77,-66.1,1
105,1.29820212001986e-05,133125,133124,133124,0.7,0.7,0.7,13699,13604,232,0,0,0,120,-120,59.22,120.1,-66.06,0
106,0.000408903533548084,133032,133093,133132,0,1.2,1.2,13701,13599,232,0,0,0,119.96,-120.03,59.2,120.06,-66.1,1
107,1.29895847019472e-05,133125,133124,133124,0.7,0.7,0.7,13817,13805,30,0,0,0,120,-120,59.9,120.01,-66.06,0
108,0.000408898985244095,133032,133093,133132,0,1.2,1.2,13819,13800,30,0,0,0,119.96,-120.03,59.88,119.97,-66.1,1
109,1.25073178448088e-05,133125,133124,133124,0.7,0.7,0.7,13593,244,13688,0,0,0,120,-120,0.13,172.64,-60.81,0
110,0.000409204796426178,133032,133093,133132,0,1.2,1.2,13585,244,13683,0,0,0,119.96,-120.03,0.13,172.63,-60.86,1
111,1.25590632423606e-05,133125,133124,133124,0.7,0.7,0.7,13505,383,13504,0,0,0,120,-120,0.81,150,-60.81,0
112,0.00040918550728981,133032,133093,133132,0,1.2,1.2,13497,383,13499,0,0,0,119.96,-120.03,0.81,149.97,-60.86,1
113,1.29255137531183e-05,133125,133124,133124,0.7,0.7,0.7,12938,1640,12205,0,0,0,120,-120,5.88,126.06,-60.81,0
114,0.000409049284905156,133032,133093,133132,0,1.2,1.2,12931,1639,12201,0,0,0,119.96,-120.03,5.88,126.01,-60.86,1
115,1.44166791765902e-05,133125,133124,133124,0.7,0.7,0.7,11883,6918,6918,0,0.1,0.1,120,-120,30,120.81,-60.81,0
116,0.000408501683910065,133032,133093,133132,0,1.2,1.2,11881,6915,6915,0,0.1,0.1,119.96,-120.03,30,120.77,-60.86,1
117,1.5928483654499e-05,133125,133124,133124,0.7,0.7,0.7,13105,12277,1558,0,0.1,0.1,120,-120,54.14,120.1,-60.81,0
118,0.000407957505874634,133032,133093,133132,0,1.2,1.2,13106,12272,1557,0,0.1,0.1,119.96,-120.03,54.13,120.06,-60.86,1
119,1.63064334244452e-05,133125,133124,133124,0.7,0.7,0.7,13724,13617,218,0,0.1,0.1,120,-120,59.22,120.01,-60.81,0
120,0.000407823194312646,133032,133093,133132,0,1.2,1.2,13726,13612,218,0,0.1,0.1,119.96,-120.03,59.2,119.97,-60.86,1
121,1.25070043358227e-05,133125,133124,133124,0.7,0.7,0.7,13804,31,13816,0,0,0,120,-120,0.02,172.64,-60.1,0
122,0.000409207201888954,133032,133093,133132,0,1.2,1.2,13796,31,13810,0,0,0,119.96,-120.03,0.01,172.63,-60.15,1
123,1.25602964922211e-05,133125,133124,133124,0.7,0.7,0.7,13792,50,13792,0,0,0,120,-120,0.1,150,-60.1,0
124,0.000409189084909578,133032,133093,133132,0,1.2,1.2,13784,50,13786,0,0,0,119.96,-120.03,0.1,149.97,-60.15,1
125,1.29771691242522e-05,133125,133124,133124,0.7,0.7,0.7,13700,232,13604,0,0,0,120,-120,0.78,126.06,-60.1,0
126,0.000409047849328082,133032,133093,133132,0,1.2,1.2,13692,232,13599,0,0,0,119.96,-120.03,0.78,126.01,-60.15,1
127,1.5925314463054e-05,133125,133124,133124,0.7,0.7,0.7,13105,1558,12277,0,0.1,0.1,120,-120,5.86,120.81,-60.1,0
128,0.000408074076741322,133032,133093,133132,0,1.2,1.2,13099,1557,12272,0,0.1,0.1,119.96,-120.03,5.86,120.77,-60.15,1
129,2.78363477688853e-05,133126,133122,133123,0.7,0.7,0.7,11969,6917,6917,0,0.5,0.5,120,-120,30,120.1,-60.1,0
130,0.000404606278286039,133033,133091,133131,0,1.3,1.2,11967,6914,6914,0,0.5,0.5,119.96,-120.03,30,120.06,-60.15,1
131,3.97698991810368e-05,133126,133121,133121,0.7,0.8,0.7,13126,12286,1548,0,1,1,120,-120,54.14,120.01,-60.1,0
132,0.00040190431045349,133035,133089,133131,0,1.3,1.2,13128,12281,1548,0,1,1,119.96,-120.03,54.13,119.97,-60.15,1
133,1.25069559772084e-05,133125,133124,133124,0.7,0.7,0.7,13831,4,13832,0,0,0,120,-120,0,172.64,-60.01,0
134,0.000409207512282155,133032,133093,133132,0,1.2,1.2,13823,4,13827,0,0,0,119.96,-120.03,-0,172.63,-60.06,1
135,1.25604552585647e-05,133125,133124,133124,0.7,0.7,0.7,13829,6,13829,0,0,0,120,-120,0.01,150,-60.01,0
136,0.000409189551324415,133032,133093,133132,0,1.2,1.2,13821,6,13824,0,0,0,119.96,-120.03,0.01,149.97,-60.06,1
137,1.29845930831077e-05,133125,133124,133124,0.7,0.7,0.7,13817,30,13805,0,0,0,120,-120,0.1,126.06,-60.01,0
138,0.000409047642708033,133032,133093,133132,0,1.2,1.2,13809,30,13800,0,0,0,119.96,-120.03,0.09,126.01,-60.06,1
139,1.63025655693534e-05,133125,133124,133124,0.7,0.7,0.7,13725,218,13617,0,0.1,0.1,120,-120,0.78,120.81,-60.01,0
140,0.000407969049066491,133032,133093,133132,0,1.2,1.2,13717,218,13612,0,0.1,0.1,119.96,-120.03,0.77,120.77,-60.06,1
141,3.97686246010735e-05,133126,133121,133122,0.7,0.8,0.7,13127,1548,12286,0,1,1,120,-120,5.86,120.11,-60.01,0
142,0.000402028359075921,133035,133089,133131,0,1.3,1.2,13120,1548,12281,0,1,1,119.96,-120.03,5.85,120.06,-60.06,1
143,0.000134468547442544,133130,133110,133113,0.8,1,0.8,11980,6916,6916,0,4.3,4.3,120,-120.01,29.99,120.02,-60.01,0
144,0.000407389417539981,133046,133075,133127,0,1.6,1.2,11979,6913,6913,0,4.3,4.3,119.95,-120.04,29.99,119.97,-60.06,1
145,1.25213971462342e-05,133125,133124,133124,0.7,0.7,0.7,483,13418,13418,0,0,0,120,-120,30,178.97,-118.97,0
146,0.000409083515071147,133032,133094,133132,0,1.2,1.2,483,13410,13420,0,0,0,119.96,-120.03,30,178.96,-118.99,1
147,1.25020118273865e-05,133125,133124,133124,0.7,0.7,0.7,1708,12870,12143,0,0,0,120,-120,52.64,173.94,-118.97,0
148,0.000409082401124655,133032,133094,133132,0,1.2,1.2,1708,12862,12144,0,0,0,119.96,-120.03,52.63,173.93,-118.99,1
149,1.24240741495723e-05,133125,133124,133124,0.7,0.7,0.7,6918,11857,6918,0,0,0,120,-120,58.97,150,-118.97,0
150,0.000409077868130098,133032,133094,133132,0,1.2,1.2,6919,11848,6919,0,0,0,119.96,-120.03,58.95,149.97,-118.99,1
151,1.23466239421872e-05,133125,133124,133124,0.7,0.7,0.7,12269,13096,1566,0,0,0,120,-120,59.87,125.88,-118.97,0
152,0.000409073434981786,133031,133094,133132,0,1.2,1.2,12270,13090,1566,0,0,0,119.96,-120.03,59.85,125.84,-118.99,1
153,1.23275272447291e-05,133125,133124,133124,0.7,0.7,0.7,13615,13723,219,0,0,0,120,-120,59.98,120.78,-118.97,0
154,0.00040907235599707,133031,133094,133132,0,1.2,1.2,13617,13717,219,0,0,0,119.96,-120.03,59.97,120.74,-118.99,1
155,1.23248305085581e-05,133125,133124,133124,0.7,0.7,0.7,13807,13820,28,0,0,0,120,-120,60,120.1,-118.97,0
156,0.000409072196356031,133031,133094,133132,0,1.2,1.2,13808,13815,28,0,0,0,119.96,-120.03,59.98,120.05,-118.99,1
157,1.24982187112373e-05,133125,133124,133124,0.7,0.7,0.7,1708,12143,12870,0,0,0,120,-120,7.36,178.97,-113.95,0
158,0.000409191025015374,133032,133093,133132,0,1.2,1.2,1707,12136,12872,0,0,0,119.96,-120.03,7.35,178.96,-113.97,1
159,1.24870592923227e-05,133125,133124,133124,0.7,0.7,0.7,2480,11753,11753,0,0,0,120,-120,30,173.94,-113.95,0
160,0.000409179090962495,133032,133093,133132,0,1.2,1.2,2479,11745,11754,0,0,0,119.96,-120.03,30,173.93,-113.97,1
161,1.24406696260665e-05,133125,133124,133124,0.7,0.7,0.7,6956,11247,6956,0,0,0,120,-120,53.94,150,-113.95,0
162,0.000409127974401868,133032,133093,133132,0,1.2,1.2,6957,11240,6957,0,0,0,119.96,-120.03,53.93,149.97,-113.97,1
163,1.23921697324264e-05,133125,133124,133124,0.7,0.7,0.7,12205,12938,1640,0,0,0,120,-120,59.19,125.88,-113.95,0
164,0.000409071481241468,133031,133094,133132,0,1.2,1.2,12206,12932,1640,0,0,0,119.96,-120.03,59.17,125.84,-113.97,1
165,1.23798413181121e-05,133125,133124,133124,0.7,0.7,0.7,13604,13699,232,0,0,0,120,-120,59.9,120.78,-113.95,0
166,0.000409056547695721,133031,133094,133132,0,1.2,1.2,13605,13694,232,0,0,0,119.96,-120.03,59.88,120.74,-113.97,1
167,1.2378089939104e-05,133125,133124,133124,0.7,0.7,0.7,13805,13817,30,0,0,0,120,-120,59.99,120.1,-113.95,0
168,0.000409054404734807,133031,133094,133132,0,1.2,1.2,13807,13812,30,0,0,0,119.96,-120.03,59.97,120.05,-113.97,1
169,1.24045971837551e-05,133125,133124,133124,0.7,0.7,0.7,6919,6919,11857,0,0,0,120,-120,1.03,178.97,-90,0
170,0.000409631280196705,133032,133093,133132,0,1.2,1.2,6915,6914,11857,0,0,0,119.96,-120.03,1.03,178.96,-90.04,1
171,1.2424286918158e-05,133125,133124,133124,0.7,0.7,0.7,6956,6956,11247,0,0,0,120,-120,6.06,173.94,-90,0
172,0.000409594265651859,133032,133093,133132,0,1.2,1.2,6953,6952,11247,0,0,0,119.96,-120.03,6.05,173.93,-90.04,1
173,1.25310419526214e-05,133125,133124,133124,0.7,0.7,0.7,7987,7987,7987,0,0,0,120,-120,30,150,-90,0
174,0.000409396216388159,133032,133093,133132,0,1.2,1.2,7986,7982,7987,0,0,0,119.96,-120.03,30,149.97,-90.04,1
175,1.27185881139595e-05,133125,133124,133124,0.7,0.7,0.7,11802,11802,2419,0,0,0,120,-120,54.12,125.88,-90,0
176,0.000409057911068119,133032,133093,133132,0,1.2,1.2,11803,11797,2419,0,0,0,119.96,-120.03,54.11,125.84,-90.04,1
177,1.27891890476348e-05,133125,133124,133124,0.7,0.7,0.7,13516,13516,370,0,0,0,120,-120,59.22,120.78,-90,0
178,0.000408933443892545,133032,133093,133132,0,1.2,1.2,13517,13510,370,0,0,0,119.96,-120.03,59.2,120.74,-90.04,1
179,1.28003649152562e-05,133125,133124,133124,0.7,0.7,0.7,13793,13793,48,0,0,0,120,-120,59.9,120.1,-90,0
180,0.000408913876409934,133032,133093,133132,0,1.2,1.2,13795,13788,48,0,0,0,119.96,-120.03,59.88,120.05,-90.04,1
181,1.23108691644387e-05,133125,133124,133124,0.7,0.7,0.7,12269,1566,13096,0,0,0,120,-120,0.13,178.97,-65.88,0
182,0.000410082331316204,133031,133093,133132,0,1.2,1.2,12262,1565,13092,0,0,0,119.96,-120.03,0.13,178.96,-65.93,1
183,1.23574674966108e-05,133125,133124,133124,0.7,0.7,0.7,12205,1640,12938,0,0,0,120,-120,0.81,173.94,-65.88,0
184,0.000410054445890698,133031,133093,133132,0,1.2,1.2,12198,1639,12934,0,0,0,119.96,-120.03,0.81,173.93,-65.93,1
185,1.26912026676204e-05,133125,133124,133124,0.7,0.7,0.7,11802,2419,11802,0,0,0,120,-120,5.88,150,-65.88,0
186,0.000409855037804592,133032,133093,133132,0,1.2,1.2,11796,2417,11798,0,0,0,119.96,-120.03,5.88,149.97,-65.93,1
187,1.41191783346766e-05,133125,133124,133124,0.7,0.7,0.7,11269,6954,6954,0,0.1,0.1,120,-120,30,125.88,-65.88,0
188,0.000409008229966653,133032,133093,133132,0,1.2,1.2,11266,6951,6952,0,0.1,0.1,119.96,-120.03,30,125.84,-65.93,1
189,1.56914875572473e-05,133125,133124,133124,0.7,0.7,0.7,12946,12213,1631,0,0.1,0.1,120,-120,54.14,120.78,-65.88,0
190,0.000408087061246054,133032,133093,133132,0,1.2,1.2,12947,12208,1631,0,0.1,0.1,119.96,-120.03,54.13,120.74,-65.93,1
191,1.61059122248921e-05,133125,133124,133124,0.7,0.7,0.7,13701,13605,230,0,0.1,0.1,120,-120,59.22,120.1,-65.88,0
192,0.000407846116195025,133032,133093,133132,0,1.2,1.2,13702,13600,230,0,0.1,0.1,119.96,-120.03,59.2,120.05,-65.93,1
193,1.22876287001821e-05,133125,133124,133124,0.7,0.7,0.7,13616,219,13723,0,0,0,120,-120,0.02,178.97,-60.78,0
194,0.000410195842996998,133031,133093,133132,0,1.2,1.2,13608,219,13718,0,0,0,119.96,-120.03,0.01,178.96,-60.83,1
195,1.23402629828994e-05,133125,133124,133124,0.7,0.7,0.7,13604,232,13699,0,0,0,120,-120,0.1,173.94,-60.78,0
196,0.000410176323387932,133031,133093,133132,0,1.2,1.2,13596,232,13694,0,0,0,119.96,-120.03,0.1,173.93,-60.83,1
197,1.27519198856366e-05,133125,133124,133124,0.7,0.7,0.7,13516,370,13516,0,0,0,120,-120,0.78,150,-60.78,0
198,0.000410024037400826,133031,133093,133132,0,1.2,1.2,13508,370,13510,0,0,0,119.96,-120.03,0.78,149.97,-60.83,1
199,1.56671201906353e-05,133125,133124,133124,0.7,0.7,0.7,12946,1631,12213,0,0.1,0.1,120,-120,5.86,125.88,-60.78,0
200,0.000408969072843897,133032,133093,133132,0,1.2,1.2,12940,1630,12208,0,0.1,0.1,119.96,-120.03,5.86,125.84,-60.83,1
201,2.75200738627525e-05,133126,133122,133123,0.7,0.7,0.7,11887,6918,6918,0,0.5,0.5,120,-120,30,120.79,-60.78,0
202,0.000405123574034449,133033,133091,133131,0,1.3,1.2,11884,6915,6915,0,0.5,0.5,119.96,-120.03,30,120.74,-60.83,1
203,3.95209745969746e-05,133126,133121,133121,0.7,0.8,0.7,13106,12278,1557,0,1,1,120,-120,54.14,120.1,-60.78,0
